Sample_name	File_name	Target	Replicates
TCGA-C5-A1MF-01A-11R-A13Y-07		Cervical squamous cell carcinoma	
TCGA-VS-A959-01A-11R-A42T-07		Cervical squamous cell carcinoma	
TCGA-C5-A1BF-01B-11R-A13Y-07		Cervical squamous cell carcinoma	
TCGA-DS-A0VN-01A-21R-A10U-07		Cervical squamous cell carcinoma	
TCGA-EA-A5FO-01A-21R-A28H-07		Cervical squamous cell carcinoma	
TCGA-C5-A2LX-01A-11R-A18M-07		Cervical squamous cell carcinoma	
TCGA-MY-A5BD-01A-11R-A26T-07		Cervical squamous cell carcinoma	
TCGA-EK-A3GN-01A-11R-A213-07		Cervical squamous cell carcinoma	
TCGA-EA-A6QX-01A-12R-A33Z-07		Cervical squamous cell carcinoma	
TCGA-VS-A8QF-01A-21R-A37O-07		Cervical squamous cell carcinoma	
TCGA-C5-A1BK-01B-11R-A13Y-07		Cervical squamous cell carcinoma	
TCGA-C5-A8YQ-01A-11R-A37O-07		Cervical squamous cell carcinoma	
TCGA-4J-AA1J-01A-21R-A38B-07		Cervical squamous cell carcinoma	
TCGA-VS-A9UU-01A-11R-A42T-07		Cervical squamous cell carcinoma	
TCGA-JX-A3Q0-01A-11R-A32Y-07		Cervical squamous cell carcinoma	
TCGA-EA-A5ZE-01A-11R-A28H-07		Cervical squamous cell carcinoma	
TCGA-GH-A9DA-01A-21R-A37O-07		Cervical squamous cell carcinoma	
TCGA-JW-A5VJ-01A-11R-A28H-07		Cervical squamous cell carcinoma	
TCGA-VS-A8EJ-01A-11R-A37O-07		Cervical squamous cell carcinoma	
TCGA-VS-A8Q8-01A-11R-A37O-07		Cervical squamous cell carcinoma	
TCGA-HG-A2PA-01A-11R-A213-07		Cervical squamous cell carcinoma	
TCGA-VS-A953-01A-11R-A38B-07		Cervical squamous cell carcinoma	
TCGA-EA-A439-01A-11R-A24H-07		Cervical squamous cell carcinoma	
TCGA-C5-A3HE-01A-21R-A22U-07		Cervical squamous cell carcinoma	
TCGA-DS-A0VM-01A-11R-A10U-07		Cervical squamous cell carcinoma	
TCGA-VS-A9UJ-01A-11R-A42T-07		Cervical squamous cell carcinoma	
TCGA-ZX-AA5X-01A-11R-A42T-07		Cervical squamous cell carcinoma	
TCGA-EA-A3HS-01A-11R-A213-07		Cervical squamous cell carcinoma	
TCGA-C5-A7CK-01A-11R-A32P-07		Cervical squamous cell carcinoma	
TCGA-EK-A2RB-01A-11R-A18M-07		Cervical squamous cell carcinoma	
TCGA-C5-A1BJ-01A-11R-A13Y-07		Cervical squamous cell carcinoma	
TCGA-MA-AA41-01A-11R-A38B-07		Cervical squamous cell carcinoma	
TCGA-EK-A2RM-01A-21R-A18M-07		Cervical squamous cell carcinoma	
TCGA-VS-A9UB-01A-22R-A42T-07		Cervical squamous cell carcinoma	
TCGA-EA-A3Y4-01A-51R-A24H-07		Cervical squamous cell carcinoma	
TCGA-VS-A9UD-01A-11R-A42T-07		Cervical squamous cell carcinoma	
TCGA-C5-A8XK-01A-11R-A37O-07		Cervical squamous cell carcinoma	
TCGA-IR-A3LK-01A-12R-A213-07		Cervical squamous cell carcinoma	
TCGA-HM-A3JJ-01A-21R-A21T-07		Cervical squamous cell carcinoma	
TCGA-VS-A8EB-01A-11R-A36F-07		Cervical squamous cell carcinoma	
TCGA-EA-A3HU-01A-11R-A213-07		Cervical squamous cell carcinoma	
TCGA-DS-A3LQ-01A-21R-A21T-07		Cervical squamous cell carcinoma	
TCGA-DS-A1OA-01A-11R-A14Y-07		Cervical squamous cell carcinoma	
TCGA-EA-A3HR-01A-11R-A213-07		Cervical squamous cell carcinoma	
TCGA-C5-A7CH-01A-11R-A33Z-07		Cervical squamous cell carcinoma	
TCGA-VS-A9U5-01A-11R-A42T-07		Cervical squamous cell carcinoma	
TCGA-EX-A3L1-01A-11R-A32Y-07		Cervical squamous cell carcinoma	
TCGA-VS-A8EG-01A-11R-A36F-07		Cervical squamous cell carcinoma	
TCGA-LP-A4AU-01A-32R-A32Y-07		Cervical squamous cell carcinoma	
TCGA-MA-AA43-01A-11R-A42T-07		Cervical squamous cell carcinoma	
TCGA-C5-A1MQ-01A-11R-A14Y-07		Cervical squamous cell carcinoma	
TCGA-MY-A913-01A-11R-A37O-07		Cervical squamous cell carcinoma	
TCGA-VS-A8Q9-01A-12R-A37O-07		Cervical squamous cell carcinoma	
TCGA-DS-A1OC-01A-11R-A14Y-07		Cervical squamous cell carcinoma	
TCGA-UC-A7PG-01A-11R-A42S-07		Cervical squamous cell carcinoma	
TCGA-BI-A0VR-01A-11R-A10U-07		Cervical squamous cell carcinoma	
TCGA-EA-A410-01A-11R-A32Y-07		Cervical squamous cell carcinoma	
TCGA-JW-A5VH-01A-11R-A28H-07		Cervical squamous cell carcinoma	
TCGA-VS-A9UL-01A-11R-A42T-07		Cervical squamous cell carcinoma	
TCGA-WL-A834-01A-11R-A352-07		Cervical squamous cell carcinoma	
TCGA-FU-A3YQ-01A-11R-A22U-07		Cervical squamous cell carcinoma	
TCGA-DS-A1O9-01A-11R-A14Y-07		Cervical squamous cell carcinoma	
TCGA-VS-A94W-01A-12R-A37O-07		Cervical squamous cell carcinoma	
TCGA-DG-A2KM-01A-11R-A180-07		Cervical squamous cell carcinoma	
TCGA-EA-A3HQ-01A-11R-A213-07		Cervical squamous cell carcinoma	
TCGA-C5-A1MH-01A-11R-A14Y-07		Cervical squamous cell carcinoma	
TCGA-C5-A8XH-01A-11R-A37O-07		Cervical squamous cell carcinoma	
TCGA-C5-A1M7-01A-11R-A13Y-07		Cervical squamous cell carcinoma	
TCGA-UC-A7PF-01A-11R-A352-07		Cervical squamous cell carcinoma	
TCGA-HM-A4S6-01A-11R-A26T-07		Cervical squamous cell carcinoma	
TCGA-VS-A94Z-01A-11R-A38B-07		Cervical squamous cell carcinoma	
TCGA-IR-A3LC-01A-11R-A213-07		Cervical squamous cell carcinoma	
TCGA-IR-A3LH-01A-21R-A213-07		Cervical squamous cell carcinoma	
TCGA-C5-A905-01A-11R-A37O-07		Cervical squamous cell carcinoma	
TCGA-VS-A9UH-01A-11R-A42T-07		Cervical squamous cell carcinoma	
TCGA-C5-A7UE-01A-11R-A33Z-07		Cervical squamous cell carcinoma	
TCGA-C5-A7CL-01A-11R-A32P-07		Cervical squamous cell carcinoma	
TCGA-C5-A1BL-01A-11R-A13Y-07		Cervical squamous cell carcinoma	
