Sample_name	Target
TCGA-MQ-A6BN-01A-12R-A34F-07	MESO (TCGA)
TCGA-TS-A7P7-01A-11R-A40A-07	MESO (TCGA)
TCGA-TS-A8AF-01A-11R-A40A-07	MESO (TCGA)
TCGA-3H-AB3M-01A-11R-A40A-07	MESO (TCGA)
TCGA-3H-AB3S-01A-21R-A40A-07	MESO (TCGA)
TCGA-3H-AB3T-01A-11R-A40A-07	MESO (TCGA)
TCGA-3H-AB3U-01A-21R-A40A-07	MESO (TCGA)
TCGA-3H-AB3X-01A-11R-A40A-07	MESO (TCGA)
TCGA-3U-A98D-01A-12R-A40A-07	MESO (TCGA)
TCGA-3U-A98E-01A-11R-A40A-07	MESO (TCGA)
TCGA-3U-A98F-01A-11R-A40A-07	MESO (TCGA)
TCGA-3U-A98G-01A-11R-A40A-07	MESO (TCGA)
TCGA-3U-A98H-01A-11R-A40A-07	MESO (TCGA)
TCGA-3U-A98I-01A-11R-A40A-07	MESO (TCGA)
TCGA-3U-A98J-01A-11R-A40A-07	MESO (TCGA)
TCGA-LK-A4NW-01A-11R-A34F-07	MESO (TCGA)
TCGA-LK-A4NY-01A-11R-A34F-07	MESO (TCGA)
TCGA-LK-A4NZ-01A-12R-A34F-07	MESO (TCGA)
TCGA-LK-A4O0-01A-11R-A34F-07	MESO (TCGA)
TCGA-LK-A4O2-01A-11R-A34F-07	MESO (TCGA)
TCGA-LK-A4O4-01A-11R-A34F-07	MESO (TCGA)
TCGA-LK-A4O5-01A-11R-A34F-07	MESO (TCGA)
TCGA-LK-A4O6-01A-11R-A34F-07	MESO (TCGA)
TCGA-LK-A4O7-01A-11R-A34F-07	MESO (TCGA)
TCGA-MQ-A4KX-01A-11R-A34F-07	MESO (TCGA)
TCGA-MQ-A4LC-01A-31R-A34F-07	MESO (TCGA)
TCGA-MQ-A4LJ-01A-11R-A34F-07	MESO (TCGA)
TCGA-MQ-A4LM-01A-11R-A34F-07	MESO (TCGA)
TCGA-MQ-A4LP-01A-11R-A34F-07	MESO (TCGA)
TCGA-MQ-A4LV-01A-11R-A34F-07	MESO (TCGA)
TCGA-MQ-A6BL-01A-11R-A34F-07	MESO (TCGA)
TCGA-MQ-A6BQ-01A-11R-A34F-07	MESO (TCGA)
TCGA-MQ-A6BR-01A-11R-A34F-07	MESO (TCGA)
TCGA-MQ-A6BS-01A-12R-A34F-07	MESO (TCGA)
TCGA-NQ-A638-01A-11R-A34F-07	MESO (TCGA)
TCGA-SC-A6LM-01A-11R-A34F-07	MESO (TCGA)
TCGA-SC-A6LN-01A-11R-A34F-07	MESO (TCGA)
TCGA-SC-A6LP-01A-11R-A34F-07	MESO (TCGA)
TCGA-SC-A6LQ-01A-11R-A34F-07	MESO (TCGA)
TCGA-SC-A6LR-01A-11R-A34F-07	MESO (TCGA)
TCGA-SC-AA5Z-01A-21R-A40A-07	MESO (TCGA)
TCGA-SH-A7BC-01A-11R-A34F-07	MESO (TCGA)
TCGA-SH-A7BD-01A-11R-A34F-07	MESO (TCGA)
TCGA-SH-A9CT-01A-11R-A40A-07	MESO (TCGA)
TCGA-SH-A9CU-01A-11R-A40A-07	MESO (TCGA)
TCGA-TS-A7OU-01B-11R-A40A-07	MESO (TCGA)
TCGA-TS-A7OY-01A-11R-A34F-07	MESO (TCGA)
TCGA-TS-A7OZ-01A-21R-A40A-07	MESO (TCGA)
TCGA-TS-A7P0-01A-11R-A34F-07	MESO (TCGA)
TCGA-TS-A7P1-01A-41R-A40A-07	MESO (TCGA)
TCGA-TS-A7P3-01A-12R-A34F-07	MESO (TCGA)
TCGA-TS-A7P6-01A-21R-A34F-07	MESO (TCGA)
TCGA-TS-A7P8-01A-11R-A34F-07	MESO (TCGA)
TCGA-TS-A7PB-01A-11R-A34F-07	MESO (TCGA)
TCGA-TS-A8AI-01A-11R-A40A-07	MESO (TCGA)
TCGA-TS-A8AS-01A-21R-A40A-07	MESO (TCGA)
TCGA-TS-A8AV-01A-12R-A40A-07	MESO (TCGA)
TCGA-TS-A8AY-01A-21R-A40A-07	MESO (TCGA)
TCGA-UD-AABZ-01A-12R-A40A-07	MESO (TCGA)
TCGA-UD-AAC1-01A-11R-A40A-07	MESO (TCGA)
TCGA-UD-AAC4-01A-11R-A40A-07	MESO (TCGA)
TCGA-UD-AAC6-01A-11R-A40A-07	MESO (TCGA)
TCGA-UD-AAC7-01A-11R-A40A-07	MESO (TCGA)
TCGA-UT-A88C-01B-11R-A40A-07	MESO (TCGA)
TCGA-UT-A88D-01B-11R-A40A-07	MESO (TCGA)
TCGA-UT-A88E-01B-11R-A40A-07	MESO (TCGA)
TCGA-UT-A88G-01B-11R-A40A-07	MESO (TCGA)
TCGA-UT-A97Y-01A-21R-A40A-07	MESO (TCGA)
TCGA-YS-A95B-01A-11R-A40A-07	MESO (TCGA)
TCGA-YS-A95C-01A-11R-A40A-07	MESO (TCGA)
TCGA-YS-AA4M-01A-11R-A40A-07	MESO (TCGA)
TCGA-ZN-A9VO-01A-11R-A40A-07	MESO (TCGA)
TCGA-ZN-A9VP-01A-11R-A40A-07	MESO (TCGA)
TCGA-ZN-A9VQ-01A-11R-A40A-07	MESO (TCGA)
TCGA-ZN-A9VS-01A-11R-A40A-07	MESO (TCGA)
TCGA-ZN-A9VU-01A-11R-A40A-07	MESO (TCGA)
TCGA-ZN-A9VV-01A-11R-A40A-07	MESO (TCGA)
TCGA-ZN-A9VW-01A-11R-A40A-07	MESO (TCGA)
